treeID;easting;northing;heigth;creatorID;specID;dbh;status
b00442;477821.862;5632214.057;273.261;team4;EIT;#WERT!;RTK Fixed
b00443;477824.195;5632207.162;272.461;team4;BUR;#WERT!;RTK Fixed
b00444;477823.665;5632201.327;272.105;team4;EIT;#WERT!;RTK Fixed
b00445;477821.009;5632202.942;271.904;team4;BUR;#WERT!;RTK Fixed
b00446;477818.131;5632197.161;270.86;team4;BUR;#WERT!;RTK Fixed
b00447;477820.944;5632193.481;270.643;team4;BUR;#WERT!;RTK Fixed
b00448;477810.799;5632201.478;269.682;team4;BUR;#WERT!;RTK Fixed
b00449;477805.554;5632189.711;264.972;team4;BUR;#WERT!;RTK Float
b00450;477802.931;5632186.201;262.711;team4;BUR;#WERT!;RTK Float
b00451;477803.995;5632183.918;262.715;team4;EIT;#WERT!;RTK Float
b00452;477797.135;5632180.485;274.719;team4;BUR;#WERT!;Autonom
b00453;477797.212;5632172.502;283.743;team4;BUR;#WERT!;Autonom
b00454;477798.674;5632187.22;267.818;team4;BUR;#WERT!;Autonom
b00455;477794.614;5632180.188;264.282;team4;BUR;#WERT!;Autonom
b00456;477801.759;5632173.872;266.862;team4;BUR;#WERT!;Autonom
b00457;477789.668;5632178.802;272.046;team4;EIT;#WERT!;Autonom
b00458;477797.909;5632191.388;259.632;team4;BUR;#WERT!;Autonom
b00459;477793.725;5632192.983;268.716;team4;BUR;#WERT!;Autonom
b00460;477782.258;5632196.108;271.15;team4;BUR;#WERT!;Autonom
b00461;477778.635;5632206.299;264.022;team4;BUR;#WERT!;Autonom
b00462;477775.039;5632214.475;263.709;team4;BUR;#WERT!;Autonom
b00463;477770.4;5632212.449;262.946;team4;BUR;#WERT!;Autonom
b00464;477779.316;5632222.338;263.262;team4;HBU;#WERT!;Autonom
b00465;477776.271;5632216.553;275.321;team4;HBU;#WERT!;Autonom
b00466;477780.551;5632214.394;273.228;team4;EIT;#WERT!;Autonom
b00469;477797.096;5632207.18;265.526;team4;HBU;#WERT!;Autonom
b00468;477788.288;5632220.976;267.498;team4;HBU;#WERT!;Autonom
b00467;477784.366;5632220.529;266.332;team4;BUR;#WERT!;Autonom
b00470;477801.008;5632216.297;266.633;team4;BUR;#WERT!;Autonom
b00471;477795.448;5632218.881;278.855;team4;HBU;#WERT!;Autonom
b00472;477799.028;5632237.915;274.649;team4;EIT;#WERT!;Autonom
b00473;477794.849;5632222.523;269.492;team4;BUR;#WERT!;Autonom
b00474;477789.706;5632229.391;271.365;team4;HBU;#WERT!;Autonom
b00475;477797.012;5632232.348;268.258;team4;HBU;#WERT!;Autonom
b00476;477810.894;5632225.808;285.068;team4;EIT;#WERT!;Autonom
b00477;477807.668;5632228.265;272.602;team4;BUR;#WERT!;Autonom
